"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 13 15:03:13 GMT 2024","Sat Jul 13 15:03:22 GMT 2024","8881","chromium","example.spec.js","","","","invalid email check on register page",""
"passed","Sat Jul 13 12:32:27 GMT 2024","Sat Jul 13 12:32:32 GMT 2024","4308","webkit","example.spec.js","","","","has title",""
"passed","Sat Jul 13 12:32:38 GMT 2024","Sat Jul 13 12:32:48 GMT 2024","10376","webkit","example.spec.js","","","","help link",""
"passed","Sat Jul 13 12:32:35 GMT 2024","Sat Jul 13 12:32:45 GMT 2024","9970","webkit","example.spec.js","","","","search by id",""
"passed","Sat Jul 13 12:32:49 GMT 2024","Sat Jul 13 12:32:56 GMT 2024","7475","webkit","example.spec.js","","","","invalid email check on register page",""
"passed","Sat Jul 13 12:32:21 GMT 2024","Sat Jul 13 12:32:33 GMT 2024","11952","firefox","example.spec.js","","","","invalid email check on register page",""
"passed","Sat Jul 13 12:32:10 GMT 2024","Sat Jul 13 12:32:23 GMT 2024","13827","firefox","example.spec.js","","","","help link",""
"passed","Sat Jul 13 12:32:45 GMT 2024","Sat Jul 13 12:32:53 GMT 2024","8614","webkit","example.spec.js","","","","forum boards",""
"passed","Sat Jul 13 14:00:59 GMT 2024","Sat Jul 13 14:01:06 GMT 2024","6749","chromium","example.spec.js","","","","forum boards",""
"passed","Sat Jul 13 12:31:54 GMT 2024","Sat Jul 13 12:32:02 GMT 2024","7564","firefox","example.spec.js","","","","has title",""
"passed","Sat Jul 13 12:32:05 GMT 2024","Sat Jul 13 12:32:12 GMT 2024","6172","firefox","example.spec.js","","","","search by id",""
"passed","Sat Jul 13 13:23:49 GMT 2024","Sat Jul 13 13:23:56 GMT 2024","7390","chromium","example.spec.js","","","","help link",""
"passed","Sat Jul 13 12:32:12 GMT 2024","Sat Jul 13 12:32:21 GMT 2024","9046","firefox","example.spec.js","","","","forum boards",""
"passed","Sat Jul 13 16:03:43 GMT 2024","Sat Jul 13 16:03:50 GMT 2024","6844","chromium","example.spec.js","","","","search by id",""
"passed","Sat Jul 13 13:10:17 GMT 2024","Sat Jul 13 13:10:25 GMT 2024","7887","chromium","example.spec.js","","","","has title",""
